Question_ID,question,answer
282,How can I get over my posttraumatic stress disorder without my parents knowing about it?,"I understand that at times it's difficult to share with our parents what we have been trough, due to fear of judgment or punishment; but I have noticed that keeping our experiences secret, intensifies them. And Post Traumatic Stress Disorder can haunt us for a long time if we do not learn to process the memories that cause those symptoms. If you have been victim of a traumatic event that you are not prepared to share with your parents, it's important that you seek help with a counselor, therapist or psychologist. Trauma Focused Cognitive Behavioral Therapy is a great technique to cope with physical symptoms, you could also use Narrative therapy, Creative Therapy or Journaling as a way to express memories and process them with your therapist. A psychiatrist can also prescribe medication to manage the symptoms, but is very important that you address the trauma so you can heal and go back to live your life. Many organizations like the United Way (2-1-1 in many states) offer resources and referrals to put you in touch with mental health providers, you could also talk to your school counselor, doctor or church to find referral that could help. Tip: You don't have to tell you story to each person you ask for help, you can just start by asking for a counselor referral. "
2001,How can someone address is have too many issues for counseling something I should address??,"Absolutely not! When we have the courage to accept the challenge to address whatever is causing us pain, the solutions often generalize to many, if not all of our symptoms. I would suggest that unresolved trauma from sexual abuse is likely a primary contributing factor. However, it is important that you first build a trusting relationship with a therapist experienced in trauma treatment as this is an area of specialty that not all therapists are skilled in treating. Choosing one issue to work on, such as anxiety or depressive symptoms, and starting there will allow you the opportunity to get to know your therapist, learn coping skills for managing distressing symptoms, and establish emotional safety before jumping into trauma work."
1711,What steps should I take to deal with gender dysphoria in a positive way?,"This is a difficult situation to be in, as it sounds like you are feeling very isolated from both your family and your friends. I don't know your age or gender so please excuse any incorrect assumptions about you being under 18 and use what is useful from the ideas if you are older. One idea is to research online to find a therapist or a local clinic that has a therapist who is a ""Gender Therapist"" or a ""Gender Specialist. "" Most therapists who are transgender affirmative also have other specialties and do general therapy. Though I don't think lying to your parents is a good idea, if you feel you truly can't talk to them about your gender, then perhaps you can find a therapist with a specialization in gender identity who can help you cope with your gender dysphoria. You can let your parents know that you would like to see that particular therapist for other reasons, such as anxiety/worry, and that you researched them and liked their website. Work to find a therapist who takes your parents insurance if you can. You can also talk to the therapist on the phone first, before you talk to your parents about scheduling the first therapy visit. Therapists can help you learn some ways to manage feelings of worry, shame, and fear related to gender dysphoria. Depending on your family situation, many therapists will work to help you learn skills to safely communicate with your parents about what is troubling you. Your parents may actually surprise you and be more accepting than you think. Usually when parents learn that you are suffering, they want to be open to learning how they can help you, even if awkwardly at first. Reframing is a tool that helps you think about your situation from other perspectives. It's kind of how you can look at the same picture with a different picture frame and it makes the same picture look a little different. Keep in mind your situation is probably temporary and think about in the context of your whole long life (can you tolerate another 2 to 4 years living like you are if you have another X number of years to live? ). If you are living at home, you will eventually be more independent and be able to make more of your decisions about your gender expression. Keep the idea in mind the concept that is popular in mindfulness classes I teach, that ""This too shall pass"" or ""This is only for now"" when you start to feel hopeless. If you start to over focus on your gender or body issues, try to distract yourself with things that make you feel happy (your pet, music, art, sports etc) or stay busy. If you can, find any GSA or LGBTIQQ youth group that you can attend confidentially, further away from home, to get some support. Work to find an ally, one person, that you can talk to about what you are feeling. Making new friends online through social media can sometimes be a start in breaking down the isolation you feel. Another idea, if you are under 24 years old, there is a phone line ( ) to call in case you are ever feeling you are in crisis. You can also text chat! Trevor Project: thetrevorproject. org/There is also a trans teen online chat group if you are 12-19 glbthotline. org/transteens. html If you are an adult you can get numbers to call in your state if you start to feel suicidal: suicidepreventionlifeline. org/Day to day, can you creatively work on your gender dysphoria? Yes! Are there ways you can focus on parts of your body you love? Can you focus on that when you look in the mirror? Are you a writer? Can you write stories or poetry about the life you imagine for yourself in the future? Can you do small things that help you get more in touch with your gender day to day like making small choices about your clothing, like wearing clothes that are more unisex, that only you know are gender related but others won't notice? You cannot force others to accept you but you can work on your self-acceptance and self-compassion. That work is something that is best done in the company of others like you as well as with at least another person who gets you and whom you can trust. Good luck to you!"
990,Can you help me with this: i have nightmares and flashbacks about a past relationship?,It sounds like you have not had the opportunity to process through the trauma you have endured. It would help if you have the opportunity to speak with someone on a regular basis until the symptoms of your trauma have subsided.
2020,How can someone address i need help understanding: How does counseling end?,"Hello. The end of the counselor/client relationship is one of mutual respect and engagement. Counseling sessions can end for any number of reasons. Among them are the client's inability to make forward progress in therapy; the clinician's inability to help the client (for a variety of reasons); a mutually agreed upon time frame for a number of sessions to be provided; or the financial challenges of the client who decides that they need to put their resources elsewhere. In this last case, a counselor should never cancel sessions with a client simply on the basis of the client's inability to pay. That is traditionally seen as an unethical practice. Other arrangements can be made to provide care to the client, which in itself should be paramount. When the client and therapist decide that services are done, it is best if there is at least one or two more sessions to allow a case file review to occur, and to bring an appropriate psychological sense of closure to the client (and vicariously to the clinician as well, those this is perhaps not as important). This transition gives both a sense of having reached the end of a journey... rather than some abrupt departure from it. (An abrupt ending in therapy can have a varying level of impact both emotionally and psychologically on the client and therapist). Sometimes the closure of therapy is the result of a program of therapy being formally completed, in which there is a mutually known (albeit perhaps approximate) date of when that program will be finished. In this case, the client is likely feeling that impending closure and has time to prepare mentally and emotionally from a place of being the client in therapy, to a place of healing, growth and situational resolution. I have always worked in therapy with the following slogan (if you will), that I learned years ago during graduate school: ""Not every therapist is good for every client, and not every client is good for every therapist. "" It is perhaps one of the most important guiding views I hold in working with clients. The therapeutic relationship is driven by mutuality - the desire of the client to get better at living life, and the therapist's desire to truly see the client heal and grow. When there is a block in this process from either side that prevents that synergy from occurring, the relationship that should be established may not be able to form. Or, if already formed, may at some point be unable to move forward. In these instances, referring the client to another type of service or clinician is appropriate. Usually, this can be seen pretty quickly by either party, though sometimes it is not always clear. Ultimately, the client and counselor need to work together to discover if the needs of the client (which is paramount) are being met in the therapeutic engagement with their current counselor, or if other arrangements need to be made to go elsewhere. If both are observant in this process, they can work together to maintain that sacred space and continue to reach the goals that have been set. Eventually, therapy will end, but hopefully based on the client's successful journey to the place where they wanted to go, and thus opening the next chapters of their life to a space that is more whole and brighter."
297,I need help understanding: I have voices in my head,"This can certainly be a side effect of some medications. If the voices are so powerful that you can not sleep or they are constantly present, you shouldn't wait any time, but go and see your doctor straight away."
1739,Can you explain a psychotic seizure?,"The best path is to ask your doctor what s/they meant when telling you about your high risk for psychotic seizure. Your doctor knows you better than any of the therapists who write on this blog. And, because your doctor knows your health, will likely have suggestions and advice for you regarding the seizures s/they thinks you may develop."
651,I need help understanding: I don't know what to do about my son's lying,"Hi, You sound like a sensitive parent; I like that you talked to your son to see if anything is wrong. There is some key information here (I don't know your son's age, whether they spent any money, whether they put the card back, or how many times they's stolen), and my answer might be different depending on those details, but I'll give you my thoughts. I see it as every child's job to figure out the rules and find where their power is in the world. In order to accomplish that, many of them test limits. ""What can I get away with? "" is a question they have to find the answer to. If a child knows the rules, they're much more likely to not test limits (because they already know the limits). So, part of testing limits is experimenting with stealing and lying. Not all kids steal, but I would say pretty much every child lies at some point. It's a normal behaviour, and most of the time it's about small things that don't matter and we don't even find out. Stealing a debit card is a bit more serious, and I'm not surprised they lied about it. If you absolutely know that they took it, it's okay to tell them that you believe they did this thing and also lied about it. It's appropriate to give a consequence for this type of behaviour, so that the child doesn't do it again. The consequence should be as natural and logical as possible. The behaviour (stealing) was harmful to you, so doing you a favour with extra chores might be a good idea. It's funny, because as parents we try to tell our kids that lying is bad, but they know they'll get a consequence if they tell the truth so there are natural deterrents to being honest (we don't want people to know our mistakes). It's a dilemma. If you really want to focus on the lying part, you can tell them that you won't give them a consequence for the lying if they decides to come clean with the truth within one day. That gives them incentive to come to you with truth. It sometimes works with kids to give them a chance to come clean and then reward them for telling the truth. You can set your child up for success and train them to tolerate honesty. Put a cookie on the counter. Tell your child to take the cookie at some point in the day. Then ask them later if they took the cookie. You're making honesty fun. Kids love games. Basically, there's as much power in rewarding the positive behaviour as punishing the negative. If this is the first serious offence for your son, don't make a big deal of it; consequence them and see if they learns. If it's a pattern, that's different and you may want the input of a therapist."
70,How do I find out the cause of my depression and anxiety?,"Answers about our inner lives are most successfully reached from a sense of feeling grounded in oneself. First step is to accept your nervousness and restless sleep. As often as possible, sleep during daytimes in order for your body to catch up on its need for rest. Accept too about feeling down. It is normal to feel down once in a while. From this place of self-acceptance, trust any answers which come up to your mind. Often answers about complicated topics come in small pieces, not all at once as a whole unit. Also, your description about panic attacks is also completely normal. They often arise unrelated to particular conditions at a given moment. They are a healthy symptom your body is trying to expel bad feelings and does this by having the anxiety erupt at times. So, self-acceptance, tolerance of being on a process of clearing out worn out emotional clutter, and sleep at odd times if possible, are all ways to stabilize yourself, which will also feel calm and good!"
290,I feel guilty because I didn't say no to a guy's advances,"Hi, There is nothing wrong with you. There are many good reasons why you didn't say no. You didn't say no because you were caught off guard and unprepared; there is no place in life that teaches girls or boys how to manage it when someone crashes a sexual boundary. You also live in a culture where girls are encouraged to be cooperative and not upset people, and to put the needs of other people first. You instinctively want people to like you, and people can be very coercive sexually. You said it yourself; you ""gave in"". They wore you down. There's nothing wrong with you. It wasn't your job to say no. Women aren't the gatekeepers of male sexual urges. It was their job to get your consent first. They pressured you into it. A good therapist would help you to dig deep and uncover all these barriers to saying no and more. If you said no, what might happen then? What might that mean about you? What are you avoiding feeling? Unloved, unwanted, cold? What would you have to believe in order to be confident enough to say no? That you didn't have to do anything you don't want to do? That you're special, or that sexuality is special? Would you need a better understanding of what sexual assault is? I love that you want to do some work here to strengthen your sexual boundaries, and I urge a widespread conversation about what consent it. Men and women of all ages could use more of this training."
1715,I'm questioning my sexuality,"Being open minded about the type of sexual connection which feels true and real, is a solid starting point. Having questions is a very valuable way of more clearly defining your sexuality. Write one or two of your questions if you'd like a more specific focus to your general search about your sexual preference."
1953,Is there reason to think it is normal to cry at therapy?,"Yes, it is very normal to cry during a therapy appointment. When you meet with a counselor, you are opening yourself up and sharing very vulnerable sides of yourself. Through this deep introspection, emotions (sometimes unexpected) can come out and this is completely okay and very healthy. Research has shown that crying reduces pain by releasing oxytocin and endorphins and reduces stress through the release of stress reduction hormones."
507,What can help me talk to my psychologist about upping my dose of Xanax?,"Staying on the lower dose may give you more room to learn strategies for coping with your anxiety. Medications are so helpful, and needed at times, but it's also important to have a varietyof tools you use to manage your responses to stress. If you are not already seeing a therapist, consider finding one who can help you learn some effective strategies, like replacing self-defeating thoughts with ones that work better for you, or mindfulness, relaxation, or other tools to keep your anxiety in the manageable range!"
1378,"I need help understanding: Should I talk honestly to my brother about his girlfriend, risking our own relationship","This is tricky and quite delicate. I wonder if you could talk with your brother about whether they would be willing to have a discussion with you about something that is important to you. I would also suggest trying to make clear your true intentions. For example: Telling them that they has the right to do what they wants with who they chooses to date That you are talking to them about this because you care about them That your relationship with them is important to you and that you love them and care about them Also try to stick to examples or ideas that are objectively observable (for example, when this happens ___, I notice ___). That way you are using facts rather than opinions and things that can be observed rather than subjective emotional decisionsI would also be curious with what your brother sees in this girl, and I might even recommend starting with thatI cannot underline enough the importance of having this come across as genuine, and for lack of a better word, gentle. I also be very honest with you that I cannot guarantee that they will react positively, neutrally, or even that they will have the discussion with you. Because it is true that they could choose to continue dating this girl and perhaps even hold it against you for a while, I would also encourage you to look at the importance of this to you and where you consider the risk-benefit ratio to be."
916,What is the best way to find myself?,"This is perhaps the deepest question that one can ask of themselves and the answer is as elusive as the deepest enigma. We are fluid beings, we are never the same from day to day, we learn or unlearn, we evolve or some of us even devolve, we are in a state of constant flux, changing and adapting, like a cloud in the sky that has its shape changed by the wind, life whittles us away and carves us constantly, trying to understand this question is like trying to bite your own teeth, however we can have a sense of what we would call our core and to understand the core, we need to live and to experience, but also to think deeply, analytically, and critically, by engaging with life we get a sense that we are like the Earth itself, inside of us there is a core, just as there is inside our planet but our continents shift and change over time, like those continents so does our own nature shift throughout our lives."
450,"Do I text, call, or make contact first, the same day of the morning I left his house?","It is possible your question reflects some insecurity about whether or not either or you would like this relationship to continue. Otherwise, the answer to your question would appear naturally. If you genuinely feel close enough to this person to sleep with them, then who texts whom first, wouldn't really matter too much. Try to understand within yourself whether you feel truly interested in this person as much as you would like to feel toward someone."
1617,My boyfriend says he needs time to think about us,"Give them the time and space they needs. Obviously something is going on with them that they needs time to process, think about, and work through. Respect that most men are not talkers but more thinkers. If and when they is ready to talk, they will. When and if they does talk, be a comforting listener and put yourself in their shoes the best you can to be the support they needs. Don't take it personal because you just been dating 3 weeks and their depression maybe something that been going on for a while. If you do like them... showing them by being patient and supportive at this time."
1783,"I told my family doctor yesterday, that I am hoarding my Ativan pills. Is he legally required to tell my psychiatrist or therapist?","Your doctor might be required to tell your psychiatrist - especially if your doctor is concerned about your safety. It was definitely a good thing that you told your primary care physician about what is going on. I know that must have been difficult to talk about with them. By having that conversation, you are helpingyour primary care physician and your psychiatrist work together to best support your health."
196,What can help me make myself happy without someone who made me happy?,"It sounds like you have been feeling pretty down, since the loss of a relationship, and you're wondering how to be happy by yourself. Intimacy is a very natural human desire and at the same time learning to enjoy ourselves, even when we are alone, can strengthen our ability to lead a satisfying life in and out of relationship. Working with a therapist, you may be able to gain insight into how you show up in your relationships with yourself and others and discover more fulfilling ways to do so."
109,Why do I crave depression?,"It sounds like you are noticing that you are drawn towards sad and negative content and it's hard to understand why. This may sound counter-intuitive, but sometimes we do things that on the surface may look problematic (or even cause us some real problems) because it serves us in some unseen way. A simple example would be somebody who is addicted to a substance; their addiction may be causing serious problems in their life, and they may even know it, but the addiction serves them by helping them to avoid painful feelings that they anticipate having if they quit using. Now I am not saying that what you describe is an addiction, it is just a really illustrative example of the unseen benefit. One thing I would be wondering about is what is the unseen benefit of seeking out sad and negative content? I'd also be wondering what your relationship is to other feelings. These are things you may benefit from exploring with a competent therapist."
1309,I'm addicted to smoking. How can I stop?,"Hi. Good for you in planning ahead to do what's healthiest for your baby (and yourself). That's a great first step! It's also good that you are able to identify that it's not always a physical need that's driving the addiction. For the next steps, I would suggest trying to figure out when the psychological cravings for a cigarette occur. The psychological (or mental) cravings are usually based out of habit, such as having a cigarette after a meal. And if you're consciously trying to quit, you'll find the craving starts with simply thinking about having a cigarette, then usually moves on to thinking about how good it made you feel, etc., etc. Well, if I'm on a diet and I continue to let myself think about the ice cream sitting in the freezer, eventually I'll give in and eat it. You're going to have thoughts about smoking a cigarette. That's normal and, for the most part, out of your control. But you choose whether or not to CONTINUE thinking and dwelling about it after that initial thought. That's what you would have to work on changing. When you have that initial thought, acknowledge it (""Ok, I kind of want a cigarette now. ""), but then change the thoughts that typically follow. Distract yourself, think about something else, do something else, whatever it takes to get your mind off of that cigarette. I've suggested to clients before that they should plan these scenarios out ahead of time so they already know what they're going to do when the time comes. Write down when you usually have the craving for a cigarette and then write down new thoughts or things to do to get your mind off of it. Eventually, it will become easier and easier to brush off that initial thought until you no longer have it. Best of luck, and you have a really great motivator to quit - your baby!"
1183,What is the reason can't I get an erection with my girlfriend?,"This is something I havehad to address with individuals often since working with couples is one of mypractice's focuses. The answer can depend upon several reasons all whichtend to be explored while in session. If you or your counselor utilizesan integral approach, in which one of the main premises makes sure to check thefour irreducible perspectives (subjective, intersubjective, objective andinterobjective """" also known as the four quadrants) in determining where thechallenges are, it then becomes possible to identify what might be contributingto or causing the challenge as well as offering up ways to address thesituation. In this case, from the upper-rightor behavioral and physical perspective, we would want to make sure there is nophysical limitation or ailment meaning that you would need to visit your doctorand have the basics checked (such as blood pressure. We would also look at particular behaviors tosee if you are doing something with is effecting performance (such asmasturbating often or being influenced by pornography). Next we would look at theupper left quadrant (thoughts, cognitions, identity, feelings) to look at whatis going on here both during sexual activities and at other times. If you are worried about your job, yourfamily or under immense pressure to perform at work or while intimate, this cancontribute to your situation. From therewe would turn to the lower left quadrant (cultural rules and tools) to see whoyou have learned to interpret challenges that come up during sex and look forways to shift, update and/or reshape the way you view sex and itschallenges. It would be here that wewould see whether one is even comfortable using a service like counseling basedupon how your family/culture of origin views the profession. Finally, we would need toaccount for challenges that show up in the lower right quadrant (systems, laws, rules of society) such as your economic ability to try services and products aswell as whether such services and products were even available. Once we have rolled through these areas itthen becomes possible to look at which aspects might need to be looked atfurther in a more meaningful way to help you change a perspective or if justgetting a blood pressure medication is all you need. To sum your question thenof why you can't keep an erection we would need to look at your thoughts (lookat your actual thoughts during the act as well as before and after), look atyour behaviors, look at your physical body for issues, look at where you pickedup your rules and tools (culture) and look at your ability to access goods andservices. They all contribute equallyand need to be taken into account. So - as you can see, there is no one possible answer to this, but several. I hope this helps."
